Wall time,Step,Value
1544373226.24634,313,15.329999923706055
1544373253.5301933,626,24.149999618530273
1544373280.7341151,939,29.09000015258789
1544373307.7814567,1252,31.31999969482422
1544373335.0203633,1565,33.08000183105469
1544373362.3061893,1878,34.4900016784668
1544373389.2965028,2191,35.689998626708984
1544373416.2970004,2504,36.7599983215332
1544373443.2247827,2817,37.81999969482422
1544373470.630372,3130,38.2400016784668
1544373497.5832734,3443,38.939998626708984
1544373524.6809464,3756,39.79999923706055
1544373552.04986,4069,40.09000015258789
1544373579.4976056,4382,40.54999923706055
1544373607.0234933,4695,41.11000061035156
1544373634.1877532,5008,41.310001373291016
1544373661.2564096,5321,41.97999954223633
1544373688.1809971,5634,42.18000030517578
1544373715.0763671,5947,42.650001525878906
1544373741.9964097,6260,42.81999969482422
1544373768.8981154,6573,43.470001220703125
1544373795.7877686,6886,43.61000061035156
1544373822.6663682,7199,43.81999969482422
1544373849.736661,7512,44.08000183105469
1544373876.6825166,7825,44.459999084472656
1544373903.5684648,8138,44.63999938964844
1544373930.4954357,8451,44.68000030517578
1544373957.4561672,8764,44.91999816894531
1544373984.9580812,9077,45.119998931884766
1544374012.283198,9390,45.310001373291016
1544374039.615859,9703,45.5
1544374066.8156085,10016,45.75
1544374094.2802906,10329,45.58000183105469
1544374121.462812,10642,45.90999984741211
1544374148.6082273,10955,46.02000045776367
1544374175.8396938,11268,46.099998474121094
1544374202.7963915,11581,46.38999938964844
1544374230.1527154,11894,46.279998779296875
1544374257.3801534,12207,46.25
1544374284.7556403,12520,46.45000076293945
1544374311.6606274,12833,46.70000076293945
1544374338.5826733,13146,46.779998779296875
1544374365.4963746,13459,46.68000030517578
1544374392.889482,13772,46.90999984741211
1544374419.7828012,14085,46.95000076293945
1544374446.6802025,14398,46.95000076293945
1544374473.5967143,14711,47.08000183105469
1544374500.5329099,15024,47.18000030517578
1544374528.1608825,15337,47.130001068115234
1544374555.4325128,15650,47.25
1544374582.7971826,15963,47.36000061035156
1544374609.9732716,16276,47.5
1544374636.9358397,16589,47.40999984741211
1544374664.0397422,16902,47.470001220703125
